ranking,name,score,link
1,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.15,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
2,Fullmetal Alchemist: Brotherhood,9.11,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
3,Bleach: Sennen Kessen-hen,9.09,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
4,Steins;Gate,9.08,https://myanimelist.net/anime/9253/Steins_Gate
5,Gintama°,9.07,https://myanimelist.net/anime/28977/Gintama°
6,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.06,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
7,Shingeki no Kyojin Season 3 Part 2,9.06,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
8,Gintama: The Final,9.05,https://myanimelist.net/anime/39486/Gintama__The_Final
9,Gintama',9.04,https://myanimelist.net/anime/9969/Gintama
10,Hunter x Hunter (2011),9.04,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
11,Gintama': Enchousen,9.03,https://myanimelist.net/anime/15417/Gintama__Enchousen
12,Ginga Eiyuu Densetsu,9.02,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
13,Fruits Basket: The Final,9.01,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
14,Gintama.,8.99,https://myanimelist.net/anime/34096/Gintama
15,3-gatsu no Lion 2nd Season,8.94,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
16,Clannad: After Story,8.94,https://myanimelist.net/anime/4181/Clannad__After_Story
17,Gintama,8.94,https://myanimelist.net/anime/918/Gintama
18,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.94,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai
19,Koe no Katachi,8.94,https://myanimelist.net/anime/28851/Koe_no_Katachi
20,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.92,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
21,Code Geass: Hangyaku no Lelouch R2,8.91,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
22,Violet Evergarden Movie,8.91,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
23,Bocchi the Rock!,8.90,https://myanimelist.net/anime/47917/Bocchi_the_Rock
24,Owarimonogatari 2nd Season,8.89,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
25,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
26,Monster,8.86,https://myanimelist.net/anime/19/Monster
27,Kimi no Na wa.,8.85,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
28,Gintama.: Shirogane no Tamashii-hen,8.81,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
29,Kimetsu no Yaiba: Yuukaku-hen,8.81,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
30,Kingdom 3rd Season,8.81,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
31,Mob Psycho 100 II,8.80,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
32,Shingeki no Kyojin: The Final Season,8.80,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
33,Kizumonogatari III: Reiketsu-hen,8.79,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
